price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,garage,kitchen_type,water_softener,bathrooms,solar_panels,heating_type,heat_pump,air_conditioning,alarm,parking_places_outdoor,garden_surface,garden_orientation,terrace_surface,terrace_orientation,land_surface,sewer_connection,running_water,primary_energy_consumption,certification_electrical_installation,certification_gasoil_tank,planning_permission_granted,preemption_right,demarcated_flooding_area,surroundings_protected,opportunity_for_professional,wash_room,leased,living_room_surface,attic,glazing_type,elevator,entry_phone,security_door,access_disabled,apartement_floor,front_facade_orientation,number_floors,toilets,cadastral_income,vat,property_subtype,postal_code,property_type,area_missing,build_year_missing,garden_surface_missing,terrace_surface_missing,land_surface_missing,primary_energy_consumption_missing,living_room_surface_missing,cadastral_income_missing
199900.0,13,60.0,4,4,0,1,0,2,1,1957.0,2,1,2,2,0,2,3,2,2,2,0,200.0,1,3.0,1,405.0,2,2,292.0,2,0,2,2,0,2,2,0,0,28.0,2,1,0,2,2,2,11,0,11,0,800.0,1,0,2100,0,0,0,1,0,1,0,0,1
199000.0,1,56.0,2,4,2,0,0,2,1,1919.0,2,1,2,2,19,2,3,2,0,0,0,200.0,1,14.0,1,405.0,2,2,343.0,0,0,2,0,0,0,2,0,0,32.0,2,0,0,2,2,0,18,0,22,18,800.0,1,0,2000,0,0,0,1,1,1,0,1,1
159000.0,1,70.0,4,4,0,1,0,2,1,2011.0,2,1,2,2,19,2,6,2,2,2,0,200.0,1,10.0,1,405.0,2,2,147.0,0,0,2,2,0,2,2,0,0,28.0,2,1,1,2,2,2,23,0,6,0,800.0,1,0,2140,0,0,1,1,0,1,0,0,1
209000.0,1,75.0,4,1,0,1,0,2,1,2011.0,2,0,2,2,19,2,5,2,2,2,0,200.0,1,18.0,1,405.0,2,2,197.0,2,0,2,0,0,2,2,0,0,32.0,2,1,1,2,2,2,18,0,30,18,800.0,1,0,2660,0,0,1,1,0,1,0,1,0
264500.0,13,86.0,0,1,0,1,0,2,1,2021.0,2,0,2,2,0,2,5,2,2,2,0,200.0,1,14.0,1,405.0,2,2,66.0,2,0,2,0,0,2,2,0,0,32.0,2,1,1,2,2,2,21,0,30,18,800.0,1,0,2660,0,0,0,1,1,1,0,1,1
225000.0,13,96.0,4,4,0,1,0,2,1,1966.0,2,1,2,2,0,2,3,2,2,2,0,200.0,1,3.0,1,405.0,2,2,192.0,0,0,2,2,0,2,2,0,0,33.0,2,1,0,2,2,2,11,0,11,0,664.0,1,0,2100,0,0,0,1,0,1,0,0,0
249000.0,13,70.0,4,1,0,1,0,2,1,1978.0,2,0,2,2,0,2,3,2,2,2,0,200.0,1,14.0,1,405.0,2,1,150.0,0,0,2,0,0,2,2,0,0,32.0,2,1,0,2,2,2,18,0,27,0,1048.0,1,0,2600,0,0,0,1,1,1,0,1,0
239000.0,13,108.0,5,1,0,1,0,2,1,1970.0,2,0,2,2,0,2,5,2,2,2,0,200.0,1,14.0,1,405.0,2,2,279.0,1,0,2,2,0,2,2,0,0,32.0,2,1,0,2,2,2,1,0,30,18,1006.0,1,0,2610,0,0,0,1,1,1,0,1,0
245000.0,1,61.0,4,4,0,0,0,2,4,2011.0,2,1,2,2,0,2,4,1,1,2,0,200.0,1,14.0,1,405.0,2,1,175.0,2,0,2,2,0,2,2,0,2,32.0,2,0,0,1,2,1,1,0,20,18,800.0,1,0,2000,0,0,1,1,1,1,0,1,1
359000.0,13,70.0,2,4,2,1,0,2,1,2016.0,2,1,2,2,0,2,3,2,0,0,0,200.0,1,6.0,1,405.0,2,2,100.0,0,0,2,2,0,0,2,0,0,32.0,2,0,1,2,2,0,15,0,30,0,800.0,1,0,2000,0,0,0,1,0,1,0,1,1
